subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Firefox,"80.0",1536,864,Windows,en-US,2020-09-06_09:14:33,2020-09-06_17:14:33,https://www.testable.org/experiment/4629/578421/start,1,"916160102","21",female,right-handed,"60.00","59.55","1.65"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",67535,Asian,7939,"2"
3,"0",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",67535,no,7939,"2"
21,"1",test,encoding,piano_1,.png,pianoA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,piano,"",700,0,0,"400","24","16.67",102714,"2",3713,""
13,"1",test,encoding,penguin_1,.png,penguinA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,penguin,"",700,42,"16.67","400","24","16.67",105998,"1",2001,""
36,"1",test,encoding,horse_1,.png,noise1.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,horse,"",700,42,"16.67","400","22","18.18",110000,"1",2846,""
45,"1",test,encoding,jet_1,.png,noise10.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,jet,"",700,42,"16.67","400","24","16.67",113453,"2",1891,""
39,"1",test,encoding,frog_1,.png,noise4.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,frog,"",700,42,"16.67","400","24","16.67",116284,"1",1637,""
30,"1",test,encoding,cymbal_ride_2,.png,gooseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",118909,"1",1478,""
20,"1",test,encoding,saw_1,.png,sawA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,saw,"",700,42,"16.67","400","24","16.67",122219,"2",2023,""
35,"1",test,encoding,bell_5,.png,dogA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,bell,"",700,42,"16.67","400","23","17.39",124965,"2",1615,""
