subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"2",Chrome,73.0.3683.103,1536,864,Windows,zh-CN,2020-09-06_18:35:43,2020-09-07_02:35:43,https://www.testable.org/experiment/4629/578421/start,1,"916189769","23",female,right-handed,"60.01","59.49","2.03"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",51728,Asian,8648,"2"
3,"0",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",51728,no,8648,"2"
67,"2",test,encoding,motorcycle_1,.png,motorcycleA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,motorcycle,"",700,0,0,"400","21","19.04",62846,"2",4595,""
78,"2",test,encoding,tiger_1,.png,doorA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,tiger,"",700,41,"17.06","400","23","17.39",67850,"2",3943,""
90,"2",test,encoding,crocodile_2,.png,noise1.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,crocodile,"",700,41,"17.07","400","23","17.38",71184,"2",2264,""
55,"2",test,encoding,dog_2,.png,dogA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,dog,"",700,42,"16.66","400","24","16.66",73525,"1",1321,""
58,"2",test,encoding,bicycle_1,.png,noise13.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,bicycle,"",700,42,"16.66","400","23","17.38",75913,"1",1331,""
61,"2",test,encoding,leopard_1,.png,cameraA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,leopard,"",700,41,"17.07","400","23","17.39",78265,"1",1282,""
53,"2",test,encoding,door_1,.png,noise8.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,door,"",700,41,"17.06","400","24","16.66",80757,"2",1434,""
70,"2",test,encoding,car_3,.png,noise10.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,car,"",700,42,"16.66","400","22","18.17",83481,"1",1672,""
52,"2",test,encoding,guitar_3,.png,guitarA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,guitar,"",700,41,"17.07","400","22","18.18",85552,"1",1011,""
65,"2",test,encoding,washer_2,.png,cowA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,washer,"",700,42,"16.66","400","22","18.17",88270,"1",1664,""
75,"2",test,encoding,chicken_1,.png,noise3.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,chicken,"",700,41,"17.07","400","24","16.66",90716,"1",1424,""
91,"2",test,encoding,goat_3,.png,goatA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,goat,"",700,42,"16.66","400","22","18.17",92960,"1",1187,""
