subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"2",Chrome,85.0.4183.121,2048,1152,Windows,zh-CN,2020-10-05_19:05:20,2020-10-06_03:05:20,https://www.testable.org/experiment/4629/578421/start,1,"032257","21",male,right-handed,"144.34","143.47","1.87"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",92666,Asian,14546,"2"
3,"",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",92666,no,14546,"2"
53,"2",test,encoding,door_1,.png,noise8.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,door,"",701,0,0,"403","58","6.95",145170,"2",2047,""
68,"2",test,encoding,bell_5,.png,noise14.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,bell,"",702,101,"6.94","403","58","6.94",147950,"2",1742,""
74,"2",test,encoding,elephant_1,.png,elephantA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,elephant,"",701,101,"6.95","403","58","6.94",151004,"1",2025,""
91,"2",test,encoding,goat_3,.png,goatA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,goat,"",701,101,"6.95","403","58","6.95",153222,"1",1188,""
56,"2",test,encoding,goose_1,.png,gooseA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,goose,"",701,101,"6.95","403","58","6.94",155688,"1",1439,""
63,"2",test,encoding,drill_1,.png,drillA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,drill,"",701,101,"6.95","403","58","6.95",157954,"2",1239,""
76,"2",test,encoding,cymbal_ride_2,.png,noise9.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,cymbal_ride,"",701,101,"6.95","403","58","6.95",160258,"2",1274,""
73,"2",test,encoding,cow_2,.png,noise2.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,cow,"",701,101,"6.94","403","58","6.95",162404,"1",1110,""
82,"2",test,encoding,jet_1,.png,jetA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,jet,"",701,101,"6.95","403","58","6.94",164982,"2",1551,""
70,"2",test,encoding,car_3,.png,noise10.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,car,"",701,101,"6.94","403","58","6.95",167574,"2",1566,""
65,"2",test,encoding,washer_2,.png,cowA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,washer,"",701,101,"6.94","403","58","6.95",169814,"2",1211,""
84,"2",test,encoding,bear_1,.png,noise6.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,bear,"",702,101,"6.94","403","58","6.95",171828,"1",988,""
89,"2",test,encoding,bat_1,.png,noise7.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,bat,"",701,101,"6.95","403","58","6.95",173800,"1",946,""
51,"2",test,encoding,drum_2,.png,drumA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,drum,"",702,101,"6.95","403","58","6.94",175640,"2",811,""
86,"2",test,encoding,penguin_1,.png,boatA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,penguin,"",701,101,"6.95","403","58","6.95",178064,"1",1388,""
66,"2",test,encoding,pig_3,.png,bicycleA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,pig,"",701,101,"6.94","403","58","6.95",179982,"1",894,""
61,"2",test,encoding,leopard_1,.png,cameraA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,leopard,"",701,101,"6.94","403","58","6.95",181784,"1",771,""
52,"2",test,encoding,guitar_3,.png,guitarA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,guitar,"",701,101,"6.95","403","58","6.95",183942,"2",1131,""
50,"2",test,encoding,piano_1,.png,batA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,piano,"",701,101,"6.94","403","58","6.95",185946,"2",974,""
79,"2",test,encoding,cat_1,.png,noise4.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,cat,"",701,101,"6.94","403","58","6.95",187830,"1",856,""
69,"2",test,encoding,frog_1,.png,frogA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,frog,"",701,101,"6.94","403","58","6.95",189610,"1",750,""
72,"2",test,encoding,snake_1,.png,bellA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,snake,"",701,101,"6.94","403","58","6.95",191434,"1",796,""
83,"2",test,encoding,bird_1,.png,noise5.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,bird,"",701,101,"6.94","403","58","6.94",193290,"1",824,""
90,"2",test,encoding,crocodile_2,.png,noise1.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,crocodile,"",701,101,"6.94","403","58","6.94",195174,"1",855,""
64,"2",test,encoding,keyboard_2,.png,keyboardA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,keyboard,"",701,101,"6.94","403","58","6.94",197130,"2",916,""
54,"2",test,encoding,hammer_3,.png,hammerA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,hammer,"",701,101,"6.94","403","58","6.94",199030,"2",871,""
