subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"2",Chrome,85.0.4183.83,1440,900,MacOS,en-US,2020-09-09_06:18:03,2020-09-08_23:18:03,https://www.testable.org/experiment/4629/578421/start,1.06,"915973206","20",female,right-handed,"60.00","59.96","0.68"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",197269,Asian,17827,"2"
3,"0",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",197269,no,17827,"2"
54,"2",test,encoding,hammer_3,.png,hammerA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,hammer,"",700,0,0,"404","23","17.58",338358,"2",3814,""
86,"2",test,encoding,penguin_1,.png,boatA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,penguin,"",700,41,"17.08","400","24","16.67",341093,"1",1391,""
80,"2",test,encoding,wolf_1,.png,carA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,wolf,"",700,42,"16.67","400","24","16.67",343065,"1",1054,""
68,"2",test,encoding,bell_5,.png,noise14.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,bell,"",700,42,"16.67","395","24","16.48",348570,"2",4587,""
65,"2",test,encoding,washer_2,.png,cowA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,washer,"",700,42,"16.67","400","24","16.67",351798,"2",2293,""
63,"2",test,encoding,drill_1,.png,drillA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,drill,"",700,42,"16.67","400","24","16.67",355134,"2",1425,""
57,"2",test,encoding,deer_4,.png,deerA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,deer,"",700,42,"16.67","400","24","16.67",357378,"1",1162,""
56,"2",test,encoding,goose_1,.png,gooseA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,goose,"",700,42,"16.67","400","24","16.67",359250,"1",818,""
69,"2",test,encoding,frog_1,.png,frogA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,frog,"",700,42,"16.67","400","24","16.67",361548,"1",1342,""
62,"2",test,encoding,stapler_1,.png,crocodileA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,stapler,"",700,42,"16.67","400","24","16.67",363479,"2",1012,""
61,"2",test,encoding,leopard_1,.png,cameraA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,leopard,"",700,42,"16.67","400","24","16.67",365464,"1",1040,""
60,"2",test,encoding,boat_1,.png,noise12.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,boat,"",700,42,"16.67","400","24","16.67",368571,"2",2159,""
89,"2",test,encoding,bat_1,.png,noise7.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,bat,"",700,42,"16.67","400","24","16.67",370508,"1",1034,""
52,"2",test,encoding,guitar_3,.png,guitarA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,guitar,"",700,42,"16.67","400","24","16.67",372855,"2",1376,""
79,"2",test,encoding,cat_1,.png,noise4.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,cat,"",700,42,"16.67","400","24","16.67",374935,"1",903,""
55,"2",test,encoding,dog_2,.png,dogA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,dog,"",700,42,"16.67","400","24","16.67",377160,"1",1026,""
77,"2",test,encoding,scissors_1,.png,bearA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,scissors,"",700,42,"16.67","400","24","16.67",379880,"2",1292,""
88,"2",test,encoding,camera_1,.png,noise11.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,camera,"",700,42,"16.67","400","24","16.67",383550,"2",1068,""
85,"2",test,encoding,train_1,.png,catA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,train,"",700,42,"16.67","400","24","16.67",386147,"1",1563,""
82,"2",test,encoding,jet_1,.png,jetA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,jet,"",700,42,"16.67","400","24","16.67",389169,"2",1217,""
81,"2",test,encoding,horse_1,.png,horseA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,horse,"",700,42,"16.67","400","24","16.67",391828,"1",1589,""
74,"2",test,encoding,elephant_1,.png,elephantA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,elephant,"",700,42,"16.67","400","24","16.67",396866,"1",4001,""
67,"2",test,encoding,motorcycle_1,.png,motorcycleA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",399040,"2",1140,""
72,"2",test,encoding,snake_1,.png,bellA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,snake,"",700,42,"16.67","400","24","16.67",401304,"1",1056,""
75,"2",test,encoding,chicken_1,.png,noise3.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,animate,chicken,"",700,42,"16.67","400","24","16.67",403864,"1",1074,""
76,"2",test,encoding,cymbal_ride_2,.png,noise9.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",407078,"2",1072,""
91,"2",test,encoding,goat_3,.png,goatA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,goat,"",700,42,"16.67","400","24","16.67",408978,"1",801,""
50,"2",test,encoding,piano_1,.png,batA.mp3,"2","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,piano,"",700,42,"16.67","400","24","16.67",411130,"2",1081,""
