subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Chrome,83.0.4103.61,1440,900,MacOS,en-US,2020-10-06_05:04:49,2020-10-05_22:04:49,https://www.testable.org/experiment/4629/578421/start,1,university of california davis,"18",female,right-handed,"60.00","58.79","1.56"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",108773,White,7448,"5"
3,"",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",108773,no,7448,"2"
31,"1",test,encoding,car_3,.png,goatA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,car,"",700,0,0,"402","23","17.47",176870,"2",2793,""
28,"1",test,encoding,bat_1,.png,drumA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bat,"",700,41,"17.08","400","23","17.39",179601,"1",1843,""
23,"1",test,encoding,cow_2,.png,motorcycleA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,cow,"",700,42,"16.67","400","23","17.39",181944,"1",1471,""
42,"1",test,encoding,deer_4,.png,noise7.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,deer,"",700,42,"16.67","400","24","16.67",184468,"1",1636,""
49,"1",test,encoding,drill_1,.png,noise14.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,drill,"",700,42,"16.67","400","23","17.39",186864,"2",1521,""
43,"1",test,encoding,motorcycle_1,.png,noise8.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",189104,"2",1356,""
36,"1",test,encoding,horse_1,.png,noise1.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,horse,"",700,42,"16.67","400","24","16.67",191763,"1",1768,""
30,"1",test,encoding,cymbal_ride_2,.png,gooseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",194203,"2",1553,""
