subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Chrome,85.0.4183.121,1920,1080,MacOS,en-US,2020-10-06_02:19:06,2020-10-05_19:19:06,https://www.testable.org/experiment/4629/578421/start,1,"916549985","19",male,right-handed,"59.93","58.87","2.60"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",47393,Asian,5817,"2"
3,"",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",47393,no,5817,"2"
42,"1",test,encoding,deer_4,.png,noise7.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,deer,"",701,0,0,"400","24","16.68",80280,"1",4374,""
20,"1",test,encoding,saw_1,.png,sawA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,saw,"",701,42,"16.68","400","24","16.68",83071,"2",1915,""
26,"1",test,encoding,bird_1,.png,hammerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bird,"",701,42,"16.68","400","24","16.68",86376,"1",2417,""
44,"1",test,encoding,keyboard_2,.png,noise9.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,keyboard,"",701,42,"16.68","400","24","16.68",88631,"2",1367,""
11,"1",test,encoding,rat_1,.png,ratA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,rat,"",701,42,"16.68","400","24","16.68",90344,"1",829,""
15,"1",test,encoding,washer_2,.png,washerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,washer,"",701,42,"16.68","400","24","16.68",92039,"2",792,""
27,"1",test,encoding,bear_1,.png,guitarA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bear,"",701,42,"16.68","400","24","16.68",93647,"1",727,""
8,"1",test,encoding,wolf_1,.png,wolfA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,wolf,"",701,42,"16.68","400","24","16.68",95255,"1",722,""
22,"1",test,encoding,crocodile_2,.png,horseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,crocodile,"",701,42,"16.68","400","24","16.68",96967,"1",830,""
19,"1",test,encoding,scissors_1,.png,scissorsA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,scissors,"",701,42,"16.68","400","24","16.68",98647,"2",789,""
41,"1",test,encoding,dog_2,.png,noise6.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,dog,"",701,42,"16.68","400","24","16.68",100319,"1",790,""
33,"1",test,encoding,boat_1,.png,elephantA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,boat,"",701,42,"16.68","400","24","16.68",102231,"2",1021,""
45,"1",test,encoding,jet_1,.png,noise10.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,jet,"",701,42,"16.68","400","24","16.68",103959,"2",845,""
29,"1",test,encoding,door_1,.png,hammerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,door,"",701,42,"16.68","400","24","16.68",105607,"2",912,""
12,"1",test,encoding,pig_3,.png,pigA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,pig,"",701,42,"16.68","400","24","16.68",106983,"1",483,""
18,"1",test,encoding,smartphone_2,.png,smartphoneA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,smartphone,"",701,42,"16.68","400","24","16.68",108431,"2",564,""
21,"1",test,encoding,piano_1,.png,pianoA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,piano,"",701,42,"16.68","400","24","16.68",110063,"2",747,""
14,"1",test,encoding,leopard_1,.png,leopardA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,leopard,"",701,42,"16.68","400","24","16.68",111543,"1",587,""
43,"1",test,encoding,motorcycle_1,.png,noise8.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,motorcycle,"",701,42,"16.68","400","24","16.68",113063,"2",630,""
25,"1",test,encoding,cat_1,.png,doorA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,cat,"",701,42,"16.68","400","24","16.68",114479,"1",537,""
16,"1",test,encoding,train_1,.png,trainA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,train,"",701,42,"16.68","400","24","16.68",115951,"2",595,""
23,"1",test,encoding,cow_2,.png,motorcycleA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,cow,"",701,42,"16.68","400","24","16.68",117415,"1",590,""
31,"1",test,encoding,car_3,.png,goatA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,car,"",701,42,"16.68","400","24","16.68",118927,"2",631,""
36,"1",test,encoding,horse_1,.png,noise1.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,horse,"",701,42,"16.68","400","24","16.68",120367,"1",551,""
34,"1",test,encoding,bicycle_1,.png,deerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,bicycle,"",701,42,"16.68","400","24","16.68",121727,"2",476,""
32,"1",test,encoding,camera_1,.png,frogA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,camera,"",701,42,"16.68","400","24","16.68",123407,"2",789,""
